,months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,ages_category,customer_category,Contract Years,total_premiums_paid,net_value_of_customer
10,235,42,543610,2002-05-26,OH,100/300,500,1253,4000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,?,87010,7910,15820,63280,Ford,F150,2002,N,Middle Aged,Long-Term Client,19.583333333333332,24537.916666666668,-62472.08333333333
11,447,61,214618,1999-05-29,OH,100/300,2000,1257,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,2006,N,Elderly,Long-Term Client,37.25,46823.25,-68096.75
12,60,23,842643,1997-11-20,OH,500/1000,500,1215,3000000,432220,MALE,MD,protective-serv,reading,wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520,4710,9420,42390,Saab,95,2000,N,Young Adult,Established Client,5.0,6075.0,-50445.0
13,121,34,626808,2012-10-26,OH,100/300,1000,936,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,2015-01-08,Parked Car,?,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N,Middle Aged,Established Client,10.083333333333334,9438.0,2158.0
14,180,38,644081,1998-12-28,OH,250/500,2000,1301,0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200,4200,8400,33600,Dodge,Neon,2003,Y,Middle Aged,Long-Term Client,15.0,19515.0,-26685.0
15,473,58,892874,1992-10-19,IN,100/300,2000,1131,0,458733,FEMALE,MD,transport-moving,movies,other-relative,55700,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999,Y,Elderly,Long-Term Client,39.416666666666664,44580.25,-18539.75
16,70,26,558938,2005-06-08,OH,500/1000,1000,1199,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,?,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N,Young Adult,Established Client,5.833333333333333,6994.166666666667,-45115.833333333336
17,140,31,275265,2004-11-15,IN,500/1000,500,708,6000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N,Middle Aged,Established Client,11.666666666666666,8260.0,-69620.0
18,160,37,921202,2014-12-28,OH,500/1000,500,1374,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,2015,N,Middle Aged,Long-Term Client,13.333333333333334,18320.0,-54610.0
19,196,39,143972,1992-08-02,IN,500/1000,2000,1475,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,?,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N,Middle Aged,Long-Term Client,16.333333333333332,24091.666666666668,-36308.33333333333
20,460,62,183430,2002-06-25,IN,250/500,1000,1187,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,?,47160,0,5240,41920,Suburu,Impreza,2011,N,Elderly,Long-Term Client,38.333333333333336,45501.66666666667,-1658.3333333333285
21,217,41,431876,2005-11-27,IL,500/1000,2000,875,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,?,1,2,?,37840,0,4730,33110,Accura,RSX,1996,N,Middle Aged,Long-Term Client,18.083333333333332,15822.916666666668,-22017.083333333332
22,370,55,285496,1994-05-27,IL,100/300,2000,1257,0,443920,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,Y,Middle Aged,Long-Term Client,30.833333333333332,38757.5,-32762.5
23,413,55,115399,1991-02-08,IN,100/300,2000,1268,0,453148,MALE,MD,priv-house-serv,chess,own-child,0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,?,2,2,?,98160,8180,16360,73620,Dodge,RAM,2011,Y,Middle Aged,Long-Term Client,34.416666666666664,43640.333333333336,-54519.666666666664
24,237,40,736882,1996-02-02,IN,100/300,1000,883,0,434733,MALE,College,craft-repair,kayaking,husband,25176,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005,N,Middle Aged,Long-Term Client,19.75,17439.25,-60440.75
25,8,35,699044,2013-12-05,OH,100/300,2000,1266,0,613982,MALE,Masters,sales,polo,own-child,25176,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,Escape,2006,Y,Middle Aged,New Client,0.6666666666666666,844.0,-70656.0
26,257,43,863236,1990-09-20,IN,100/300,2000,1322,0,436984,MALE,High School,prof-specialty,golf,own-child,0,-29200,2015-01-28,Parked Car,?,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005,N,Middle Aged,Long-Term Client,21.416666666666668,28312.833333333336,19292.833333333336
27,202,34,608513,2002-07-18,IN,100/300,500,848,3000000,607730,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,2015-01-07,Vehicle Theft,?,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,?,5720,1040,520,4160,Suburu,Forrestor,2003,Y,Middle Aged,Long-Term Client,16.833333333333332,14274.666666666668,8554.666666666668
28,224,40,914088,1990-02-08,OH,100/300,2000,1291,0,609837,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,Neon,2009,N,Middle Aged,Long-Term Client,18.666666666666668,24098.666666666664,-45741.333333333336
29,241,45,596785,2014-03-04,IL,500/1000,2000,1104,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,TL,2011,N,Middle Aged,Long-Term Client,20.083333333333332,22172.0,-69478.0
30,64,25,908616,2000-02-18,IL,250/500,1000,954,0,473328,MALE,Masters,prof-specialty,video-games,husband,53200,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,?,75600,12600,12600,50400,Toyota,Corolla,2005,N,Young Adult,Established Client,5.333333333333333,5088.0,-70512.0
31,166,37,666333,2008-06-19,IL,100/300,2000,1337,8000000,610393,MALE,JD,craft-repair,reading,husband,27500,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,?,67140,7460,7460,52220,Ford,F150,2006,Y,Middle Aged,Long-Term Client,13.833333333333334,18495.166666666668,-48644.83333333333
32,155,35,336614,2003-08-01,IL,500/1000,1000,1088,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008,N,Middle Aged,Long-Term Client,12.916666666666666,14053.333333333334,-15736.666666666666
33,114,30,584859,1992-04-04,IL,100/300,1000,1558,0,472248,MALE,High School,farming-fishing,video-games,wife,51400,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,?,77110,14020,14020,49070,Suburu,Impreza,2015,N,Young Adult,Established Client,9.5,14801.000000000002,-62309.0
34,149,37,990493,1991-01-13,IL,500/1000,500,1415,0,603381,MALE,PhD,prof-specialty,yachting,own-child,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,A3,1999,N,Middle Aged,Established Client,12.416666666666666,17569.583333333336,-47230.416666666664
35,147,33,129872,2010-08-08,OH,100/300,1000,1334,6000000,479224,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,C300,1995,Y,Middle Aged,Established Client,12.25,16341.5,-36758.5
36,62,28,200152,2003-03-09,IL,100/300,1000,988,0,430141,FEMALE,Masters,protective-serv,camping,unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,?,1,1,YES,60200,6020,6020,48160,Suburu,Forrestor,2004,Y,Young Adult,Established Client,5.166666666666667,5104.666666666666,-55095.333333333336
37,289,49,933293,1993-02-03,IL,500/1000,2000,1222,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,2015-01-18,Parked Car,?,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,N,Middle Aged,Long-Term Client,24.083333333333332,29429.833333333332,24099.833333333332
38,431,54,485664,2002-11-25,IN,500/1000,2000,1155,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,?,2,0,?,62300,12460,6230,43610,Jeep,Wrangler,2007,N,Middle Aged,Long-Term Client,35.916666666666664,41483.75,-20816.25
39,199,37,982871,1997-07-27,IN,250/500,500,1262,0,474615,MALE,JD,tech-support,video-games,wife,48500,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,?,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011,Y,Middle Aged,Long-Term Client,16.583333333333332,20928.166666666668,-39241.83333333333
40,79,26,206213,1995-05-08,IL,100/300,500,1451,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,?,40000,8000,4000,28000,BMW,M5,2010,N,Young Adult,Established Client,6.583333333333333,9552.416666666668,-30447.583333333332
41,116,34,616337,2012-08-30,IN,250/500,500,1737,0,470577,MALE,Associate,transport-moving,chess,unmarried,0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,?,1,1,?,97080,16180,16180,64720,BMW,X5,2001,Y,Middle Aged,Established Client,9.666666666666666,16791.0,-80289.0
42,37,38,448961,2006-04-30,IL,500/1000,500,1475,0,441648,FEMALE,College,prof-specialty,hiking,husband,0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,N,Middle Aged,Established Client,3.0833333333333335,4547.916666666667,-47112.083333333336
43,106,30,790442,2003-04-13,OH,250/500,500,538,0,433782,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,2005,N,Young Adult,Established Client,8.833333333333334,4752.333333333334,-46367.666666666664
44,269,44,108844,2007-12-05,IL,100/300,2000,1081,0,468104,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,?,56400,11280,11280,33840,Toyota,Highlander,2014,N,Middle Aged,Long-Term Client,22.416666666666668,24232.416666666664,-32167.583333333336
45,265,40,430029,2006-08-21,IL,250/500,1000,1454,0,459407,FEMALE,MD,protective-serv,yachting,husband,0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,?,55120,6890,0,48230,Accura,MDX,2002,N,Middle Aged,Long-Term Client,22.083333333333332,32109.166666666668,-23010.833333333332
46,163,33,529112,1990-01-08,IN,100/300,500,1240,0,472573,FEMALE,Associate,other-service,polo,husband,35300,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,?,77110,0,14020,63090,Honda,Civic,2014,N,Middle Aged,Long-Term Client,13.583333333333334,16843.333333333332,-60266.66666666667
47,355,47,939631,1990-03-18,OH,500/1000,2000,1273,4000000,433473,MALE,College,other-service,kayaking,husband,0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,A3,2003,Y,Middle Aged,Long-Term Client,29.583333333333332,37659.58333333333,-25140.41666666667
48,175,34,866931,2008-01-07,IN,500/1000,1000,1123,8000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,?,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995,N,Middle Aged,Long-Term Client,14.583333333333334,16377.083333333332,9087.083333333332
49,192,35,582011,1997-03-10,IL,100/300,1000,1245,0,435481,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,?,76600,15320,7660,53620,Mercedes,C300,2000,N,Middle Aged,Long-Term Client,16.0,19920.0,-56680.0
50,430,59,691189,2004-01-10,OH,250/500,2000,1326,7000000,477310,MALE,MD,other-service,bungie-jumping,own-child,0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,?,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,N,Elderly,Long-Term Client,35.833333333333336,47515.0,-34285.0
51,91,27,537546,1994-08-20,IL,100/300,2000,1073,0,609930,FEMALE,JD,farming-fishing,polo,husband,0,0,2015-01-17,Vehicle Theft,?,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,?,1,2,?,7260,1320,660,5280,BMW,M5,2008,N,Young Adult,Established Client,7.583333333333333,8136.916666666667,876.916666666667
52,217,39,394975,2002-06-02,IN,100/300,1000,1530,0,603993,MALE,College,armed-forces,basketball,not-in-family,0,0,2015-02-22,Vehicle Theft,?,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,?,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000,N,Middle Aged,Long-Term Client,18.083333333333332,27667.5,23367.5
53,223,40,729634,1994-04-28,IN,100/300,500,1201,0,437818,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,?,70510,12820,12820,44870,Suburu,Forrestor,1999,N,Middle Aged,Long-Term Client,18.583333333333332,22318.583333333332,-48191.41666666667
54,195,39,282195,2014-08-17,OH,250/500,1000,1393,0,478423,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,2015-02-27,Parked Car,?,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,NO,0,1,YES,2640,480,480,1680,Ford,F150,2009,N,Middle Aged,Long-Term Client,16.25,22636.25,19996.25
55,22,26,420810,2007-08-11,OH,100/300,1000,1276,0,467784,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,N,Young Adult,New Client,1.8333333333333333,2339.333333333333,-76560.66666666667
56,439,56,524836,2008-11-20,IN,250/500,500,1082,0,606714,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,?,2,3,?,56430,0,6270,50160,Honda,CRV,2014,N,Elderly,Long-Term Client,36.583333333333336,39583.16666666667,-16846.83333333333
57,94,32,307195,1995-10-18,IN,500/1000,1000,1414,0,464691,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,2015-02-22,Parked Car,?,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,2014,N,Middle Aged,Established Client,7.833333333333333,11076.333333333332,8676.333333333332
58,11,39,623648,1993-05-19,IL,250/500,2000,1470,0,431683,MALE,PhD,other-service,yachting,husband,56600,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,2007,N,Middle Aged,New Client,0.9166666666666666,1347.5,-64442.5
59,151,36,485372,2005-02-26,OH,250/500,2000,870,0,431725,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,2000,N,Middle Aged,Long-Term Client,12.583333333333334,10947.5,-51972.5
60,154,34,598554,1990-02-14,IN,100/300,500,795,0,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,?,69480,15440,0,54040,Nissan,Maxima,2014,Y,Middle Aged,Long-Term Client,12.833333333333334,10202.5,-59277.5
61,245,44,303987,1993-09-30,IL,500/1000,1000,1168,0,452787,MALE,JD,handlers-cleaners,basketball,husband,69100,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,1997,N,Middle Aged,Long-Term Client,20.416666666666668,23846.666666666664,-20433.333333333336
62,119,32,343161,2014-06-10,IL,500/1000,1000,993,0,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011,N,Middle Aged,Established Client,9.916666666666666,9847.25,-46452.75
63,215,42,519312,2008-10-28,OH,500/1000,500,1848,0,435489,MALE,JD,transport-moving,video-games,own-child,0,-49000,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003,Y,Middle Aged,Long-Term Client,17.916666666666668,33110.0,-35410.0
64,295,42,132902,2007-04-24,OH,250/500,1134,1641,5000000,450149,MALE,PhD,sales,chess,not-in-family,62400,0,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,2006,Y,Middle Aged,Long-Term Client,24.583333333333332,40341.25,-18788.75
65,254,39,332867,1993-12-13,IN,100/300,500,1362,0,458364,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995,Y,Middle Aged,Long-Term Client,21.166666666666668,28829.0,-53491.0
66,107,31,356590,2011-08-17,IN,250/500,500,1239,7000000,476458,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,A5,2009,Y,Middle Aged,Established Client,8.916666666666666,11047.75,-78652.25
67,478,64,346002,1990-08-20,OH,250/500,500,835,0,602433,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998,N,Elderly,Long-Term Client,39.833333333333336,33260.83333333333,-669.1666666666715
68,128,30,500533,1994-02-11,OH,100/300,1000,1061,0,478575,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,1997,N,Young Adult,Established Client,10.666666666666666,11317.333333333334,-57212.666666666664
69,338,49,348209,1994-02-22,IN,500/1000,1000,1279,0,449718,MALE,MD,other-service,kayaking,own-child,0,-51500,2015-02-27,Parked Car,?,Minor Damage,None,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,1,?,4300,860,860,2580,Ford,F150,2004,N,Middle Aged,Long-Term Client,28.166666666666668,36025.166666666664,31725.166666666664
70,271,42,486676,2011-08-15,OH,100/300,500,1105,0,463181,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,2,?,2,3,?,68310,12420,6210,49680,Audi,A3,2003,Y,Middle Aged,Long-Term Client,22.583333333333332,24954.583333333332,-43355.41666666667
